id,verdict,seed_name,type,town,seed_stories,seed_elevators,osm_match,osm_kind,dist_m,osm_levels
189,not_found,Ruskin Moscou Faltischek PC,Legal,Uniondale,8,6,,,,
190,not_found,Nixon Peabody LLP Long Island,Legal,Garden City,5,4,,,,
191,not_found,Forchelli Deegan Terrana LLP,Legal,Uniondale,8,6,,,,
193,not_found,Goldberg Segalla LLP,Legal,Garden City,8,6,,,,
194,not_found,Gurney's Star Island Resort,Hotel,Montauk,4,3,,,,
195,not_found,The Southampton Inn,Hotel,Southampton,4,2,,,,
199,not_found,La Quinta Inn Hauppauge,Hotel,Hauppauge,3,2,,,,
200,not_found,Hampton Inn East End Riverhead,Hotel,Riverhead,3,2,,,,
201,not_found,Marriott Residence Inn East End,Hotel,Riverhead,3,2,,,,
202,not_found,The Ram's Head Inn,Hotel,Shelter Island,3,2,,,,
205,not_found,Marriott Courtyard Melville,Hotel,Melville,4,3,,,,
206,not_found,Comfort Inn & Suites Port Jefferson,Hotel,Port Jefferson Station,3,2,,,,
210,not_found,Stony Brook University — Engineering Bldg,Education,Stony Brook,7,4,,,,
211,not_found,Stony Brook University — Life Sciences Bldg,Education,Stony Brook,6,4,,,,
212,not_found,Hofstra University — Breslin Hall,Education,Hempstead,4,3,,,,
213,not_found,NYIT — Education Hall,Education,Old Westbury,4,3,,,,
214,not_found,Adelphi University — Earle Hall,Education,Garden City,5,4,,,,
215,not_found,Dowling College — Kramer Science Center,Education,Oakdale,4,3,,,,
216,not_found,Stony Brook University — Javits Lecture Ctr,Education,Stony Brook,4,4,,,,
217,not_found,SUNY Farmingdale — Administration Bldg,Education,Farmingdale,4,3,,,,
218,not_found,Molloy University — Hagan Hall,Education,Rockville Centre,4,3,,,,
226,not_found,Suffolk County Clerk Building,Government,Riverhead,4,3,,,,
228,not_found,Theodore Roosevelt Exec & Legislative Bldg,Government,Mineola,6,5,,,,
229,not_found,North Shore Towers,Residential,Floral Park,20,8,,,,
230,not_found,The Riviera at Long Beach,Residential,Long Beach,14,5,,,,
231,not_found,The Meridian at Mineola,Residential,Mineola,6,3,,,,
232,not_found,Hempstead Towers,Residential,Hempstead,10,4,,,,
233,not_found,Roslyn Heights Apartments,Residential,Roslyn Heights,7,3,,,,
235,not_found,Great Neck South Apartments,Residential,Great Neck,12,5,,,,
236,not_found,Port Washington Waterfront Condos,Residential,Port Washington,6,3,,,,
237,not_found,Bay Shore Towers,Residential,Bay Shore,8,4,,,,
238,not_found,Rockville Centre Residences,Residential,Rockville Centre,7,3,,,,
240,not_found,Parkway Village Towers,Residential,New Hyde Park,9,4,,,,
242,not_found,Floral Park Towers,Residential,Floral Park,8,3,,,,
243,not_found,Baldwin Harbor Apartments,Residential,Baldwin,6,3,,,,
245,not_found,Hauppauge Public Library,Library,Hauppauge,3,2,,,,
246,not_found,Brentwood Public Library,Library,Brentwood,3,2,,,,
247,not_found,Great Neck Library — Main Branch,Library,Great Neck,3,2,,,,
249,not_found,Ronkonkoma LIRR Station & Garage,Transit,Ronkonkoma,3,2,,,,
250,not_found,Mineola LIRR Intermodal Center,Transit,Mineola,3,2,,,,
251,not_found,Broadway Commons,Mall,Hicksville,3,3,,,,
252,not_found,The Source Mall,Mall,Westbury,2,3,,,,
257,not_found,Long Island Children's Museum,Entertainment,Garden City,3,3,,,,
258,not_found,Hofstra University Arena,Entertainment,Hempstead,4,4,,,,
259,not_found,Stony Brook University Sports Complex,Entertainment,Stony Brook,4,4,,,,
261,not_found,Parker Jewish Institute,Residential,New Hyde Park,6,4,,,,
262,not_found,Gurwin Jewish Nursing & Rehab Center,Residential,Commack,4,3,,,,
263,not_found,Peconic Landing at Southold,Residential,Greenport,4,3,,,,
266,not_found,Atria Woodbury,Residential,Woodbury,4,3,,,,
267,not_found,Sunrise Senior Living Garden City,Residential,Garden City,4,3,,,,
268,not_found,The Bristal at East Northport,Residential,East Northport,4,3,,,,
271,not_found,The Vanderbilt at Plainview,Residential,Plainview,6,3,,,,
272,not_found,Meadowbrook Pointe,Residential,Westbury,6,4,,,,
273,not_found,Glen Cove Senior Towers,Residential,Glen Cove,8,4,,,,
274,not_found,Garden City Towers,Residential,Garden City,9,4,,,,
275,not_found,Oceanview Towers,Residential,Long Beach,12,5,,,,
276,not_found,Neptune Towers,Residential,Long Beach,12,5,,,,
277,not_found,Searingtown Apartments,Residential,Albertson,7,3,,,,
278,not_found,Hewlett House Apartments,Residential,Hewlett,7,3,,,,
279,not_found,Lawrence Towers,Residential,Lawrence,8,3,,,,
280,not_found,Port Jefferson Towers,Residential,Port Jefferson,6,3,,,,
281,not_found,Massapequa Towers,Residential,Massapequa,7,3,,,,
282,not_found,Roslyn Harbor Condos,Residential,Roslyn,5,3,,,,
283,not_found,The Terrace at Westbury,Residential,Westbury,6,3,,,,
289,not_found,Kings Park Senior Apartments,Residential,Kings Park,5,3,,,,
295,not_found,Baron's Cove Hotel,Hotel,Sag Harbor,3,2,,,,
298,not_found,Four Points by Sheraton Melville,Hotel,Melville,5,4,,,,
299,not_found,Springhill Suites Garden City,Hotel,Garden City,5,3,,,,
300,not_found,TownePlace Suites Hauppauge,Hotel,Hauppauge,4,3,,,,
301,not_found,Hampton Inn & Suites Bethpage,Hotel,Bethpage,4,3,,,,
303,not_found,Courtyard by Marriott Plainview,Hotel,Plainview,4,3,,,,
304,not_found,Marriott Courtyard Hauppauge,Hotel,Ronkonkoma,4,3,,,,
307,not_found,Dune Deck Hotel Westhampton,Hotel,Westhampton Beach,3,2,,,,
309,not_found,Canoe Place Inn,Hotel,Hampton Bays,3,2,,,,
311,not_found,1 Expressway Plaza,Office,Roslyn Heights,7,5,1,place=house,229,
312,not_found,2 Expressway Plaza,Office,Roslyn Heights,7,5,2,place=house,214,
315,not_found,North Hills Executive Park,Office,North Hills,6,5,,,,
316,not_found,800 Woodbury Rd,Office,Woodbury,5,4,800,place=house,0,
318,not_found,Syosset Corporate Center,Office,Syosset,5,4,,,,
319,not_found,195 Crossways Park Dr,Office,Woodbury,6,5,195,place=house,483,
320,not_found,Lakeville Road Executive Park,Office,Lake Success,5,4,,,,
322,not_found,600 Veterans Memorial Hwy,Office,Hauppauge,5,4,600,place=house,0,
323,not_found,Carle Place Office Park,Office,Carle Place,5,4,,,,
324,not_found,200 Rabro Dr,Office,Hauppauge,4,3,200,place=house,0,
326,not_found,East Setauket Corporate Park,Office,East Setauket,4,3,,,,
327,not_found,60 Harbor Park Dr,Office,Port Washington,4,3,60,place=house,0,
328,not_found,4 Dakota Dr,Office,Lake Success,5,4,4,place=house,0,
331,not_found,700 Old Country Rd,Office,Plainview,4,3,700,place=house,0,
332,not_found,1 Astoria Blvd,Office,Bohemia,5,4,,,,
334,not_found,125 Half Hollow Rd,Office,Deer Park,4,3,125,place=house,698,
337,not_found,Long Island Technology Campus,Office,Hauppauge,5,4,,,,
338,not_found,95 Sunnyside Blvd,Office,Woodbury,4,3,95,place=house,0,
341,not_found,Northwell Robotic Surgery Center Manhasset,Medical,Manhasset,5,4,,,,
342,not_found,Northwell Health Cancer Institute Lake Success,Medical,Lake Success,5,4,,,,
343,not_found,Catholic Health Physician Partners Merrick,Medical,Merrick,4,3,,,,
344,not_found,TLC Health Network,Medical,Amityville,5,4,,,,
345,not_found,NYU Langone Medical Commack,Medical,Commack,4,3,,,,
346,not_found,New York Spine Institute,Medical,Westbury,4,3,,,,
347,not_found,Northwell Health Dermatology Garden City,Medical,Garden City,4,3,,,,
348,not_found,South Shore University Hospital Cancer Ctr,Medical,Bay Shore,4,3,,,,
349,not_found,Northwell Behavioral Health Manhasset,Medical,Manhasset,5,4,,,,
350,not_found,St. Catherine Satellite Hauppauge,Medical,Hauppauge,4,3,,,,
351,not_found,Stony Brook Cardiology Smithtown,Medical,Smithtown,4,3,,,,
353,not_found,CareMount Medical Great Neck,Medical,Great Neck,4,3,,,,
354,not_found,Long Island Spine Specialists,Medical,Greenlawn,3,2,,,,
356,not_found,South Shore Neurologic Associates,Medical,Patchogue,4,3,,,,
360,not_found,Northwell Health Ophthalmology Great Neck,Medical,Great Neck,4,3,,,,
364,not_found,Nassau County Health Department,Government,Uniondale,5,4,,,,
365,not_found,Nassau County Corrections HQ,Government,East Meadow,5,4,,,,
366,not_found,Village of Freeport Municipal Center,Government,Freeport,4,3,,,,
370,not_found,Suffolk County Traffic & Parking Violations,Government,Hauppauge,4,3,,,,
371,not_found,Stony Brook University — Social & Behavioral Sciences,Education,Stony Brook,6,4,,,,
372,not_found,Stony Brook University — Harriman Hall,Education,Stony Brook,5,4,,,,
374,not_found,Hofstra University — Law School,Education,Hempstead,5,4,,,,
375,not_found,Adelphi University — Nexus Building,Education,Garden City,5,4,,,,
376,not_found,Touro College of Osteopathic Medicine,Education,Central Islip,4,3,,,,
377,not_found,Nassau BOCES Administrative Center,Education,Garden City,4,3,,,,
378,not_found,Western Suffolk BOCES,Education,Dix Hills,4,3,,,,
379,not_found,Dowling College — Oakdale Campus,Education,Oakdale,4,3,,,,
381,not_found,Life Time Fitness Syosset,Entertainment,Syosset,3,3,,,,
382,not_found,Life Time Fitness Commack,Entertainment,Commack,3,3,,,,
385,not_found,Vanderbilt Museum — Hall of Fishes,Entertainment,Centerport,3,2,,,,
389,not_found,Patchogue Theatre for the Performing Arts,Entertainment,Patchogue,3,2,,,,
391,not_found,Freeport YMCA,Community,Freeport,2,1,,,,
393,not_found,Hempstead YMCA,Community,Hempstead,2,1,,,,
395,not_found,Westbury YMCA,Community,Westbury,2,1,,,,
396,not_found,Port Washington YMCA,Community,Port Washington,2,1,,,,
397,not_found,Patchogue YMCA,Community,Patchogue,2,1,,,,
398,not_found,Commack YMCA,Community,Commack,2,1,,,,
399,not_found,Brentwood YMCA,Community,Brentwood,2,1,,,,
401,not_found,Bay Shore YMCA,Community,Bay Shore,3,2,,,,
402,not_found,East Meadow YMCA,Community,East Meadow,2,1,,,,
403,not_found,Riverhead YMCA,Community,Riverhead,2,1,,,,
405,not_found,JCC of the Greater Five Towns,Community,Woodmere,2,1,,,,
406,not_found,Sands Point Preserve — Hempstead House,Community,Sands Point,3,2,,,,
411,not_found,Mineola Medical Arts Building,Medical,Mineola,2,1,,,,
412,not_found,Rockville Centre Medical Arts,Medical,Rockville Centre,2,1,,,,
413,not_found,Massapequa Medical Center,Medical,Massapequa,2,1,,,,
414,not_found,Bellmore Medical Arts,Medical,Bellmore,2,1,,,,
415,not_found,Merrick Medical Arts,Medical,Merrick,2,1,,,,
416,not_found,Wantagh Medical Center,Medical,Wantagh,2,1,,,,
417,not_found,Lindenhurst Medical Arts,Medical,Lindenhurst,2,1,,,,
418,not_found,Deer Park Medical Center,Medical,Deer Park,2,1,,,,
419,not_found,Coram Medical Arts,Medical,Coram,2,1,,,,
420,not_found,Centereach Medical Center,Medical,Centereach,2,1,,,,
421,not_found,Bohemia Medical Arts,Medical,Bohemia,2,1,,,,
422,not_found,Medford Medical Center,Medical,Medford,2,1,,,,
423,not_found,Setauket Medical Center,Medical,East Setauket,2,1,,,,
424,not_found,Port Jefferson Medical Center,Medical,Port Jefferson,2,1,,,,
425,not_found,Oceanside Medical Arts,Medical,Oceanside,2,1,,,,
426,not_found,Hewlett Medical Center,Medical,Hewlett,2,1,,,,
427,not_found,Valley Stream Medical Arts,Medical,Valley Stream,2,1,,,,
428,not_found,Elmont Medical Center,Medical,Elmont,2,1,,,,
429,not_found,Floral Park Medical Arts,Medical,Floral Park,2,1,,,,
430,not_found,Seaford Medical Arts,Medical,Seaford,2,1,,,,
438,not_found,Bay Shore–Brightwaters Library,Library,Bay Shore,2,1,,,,
458,not_found,Long Beach DMV Office,Government,Long Beach,2,1,,,,
459,not_found,Nassau County DMV Hempstead,Government,Hempstead,2,1,,,,
463,not_found,100 E Main St Smithtown,Office,Smithtown,2,1,100,place=house,729,
464,not_found,Hauppauge Commerce Center,Office,Hauppauge,2,1,,,,
466,not_found,New Hyde Park Office Park,Office,New Hyde Park,2,1,,,,
467,not_found,155 Froehlich Farm Blvd,Office,Woodbury,2,1,155,place=house,0,
468,not_found,Valley Stream Business Center,Office,Valley Stream,2,1,,,,
469,not_found,33 Walt Whitman Rd,Office,Huntington Station,3,2,33,place=house,283,
470,not_found,75 Maiden Ln Great Neck,Office,Great Neck,2,1,,,,
474,not_found,100 Merrick Rd,Office,Merrick,6,4,100,place=house,8057,
475,not_found,Bayberry Professional Center,Office,Woodbury,4,3,,,,
476,not_found,Long Island Museum of American Art,Entertainment,Stony Brook,2,1,,,,
482,not_found,Sunrise Highway Plaza,Mall,Merrick,2,1,,,,
485,not_found,Stony Brook Medical Pavilion East,Medical,East Setauket,2,1,,,,
486,not_found,Plainview Commons Medical Center,Medical,Plainview,3,2,,,,
487,not_found,Babylon Professional Center,Office,Babylon,2,1,,,,
488,not_found,Freeport Professional Building,Office,Freeport,2,1,,,,
489,not_found,Riverhead Professional Center,Office,Riverhead,2,1,,,,
491,not_found,Memorial Sloan Kettering Commack,Medical,Commack,4,3,,,,
492,not_found,Stony Brook Southampton Hospital Outpatient,Medical,Southampton,3,2,,,,
493,not_found,NYU Langone East Hampton Medical,Medical,East Hampton,3,2,,,,
494,not_found,Northwell Health Cardiology Carle Place,Medical,Carle Place,3,2,,,,
495,not_found,North Shore LIJ Surgery Center Valley Stream,Medical,Valley Stream,3,2,,,,
496,not_found,MultiCare Medical Group Babylon,Medical,Babylon,2,1,,,,
497,not_found,Long Island ENT Great Neck,Medical,Great Neck,2,1,,,,
498,not_found,East Meadow Medical Center,Medical,East Meadow,3,2,,,,
499,not_found,New York Cancer & Blood Specialists Shirley,Medical,Shirley,3,2,,,,
500,not_found,Island Hospice & Healthcare,Medical,Hauppauge,3,2,,,,
502,not_found,Stony Brook Cardiology Commack,Medical,Commack,2,1,,,,
504,not_found,NYU Langone Obstetrics Garden City,Medical,Garden City,3,2,,,,
505,not_found,Northwell Health Neuroscience Manhasset,Medical,Manhasset,4,3,,,,
506,not_found,Catholic Health Physician Partners East Meadow,Medical,East Meadow,3,2,,,,
507,not_found,Stony Brook Medicine Riverhead,Medical,Riverhead,3,2,,,,
508,not_found,Northwell Pediatric Specialty Great Neck,Medical,Great Neck,3,2,,,,
509,not_found,CareMount Medical Melville,Medical,Melville,2,1,,,,
510,not_found,St. Francis Hospital Outpatient Greenvale,Medical,Greenvale,3,2,,,,
511,not_found,New York Community Bancorp HQ,Financial,Hicksville,8,5,,,,
512,not_found,Bethpage Federal Credit Union HQ,Financial,Bethpage,5,4,,,,
513,not_found,Teachers Federal Credit Union HQ,Financial,Hauppauge,4,3,,,,
514,not_found,Dime Community Bank HQ,Financial,Hauppauge,4,3,,,,
515,not_found,Island Federal Credit Union HQ,Financial,Hauppauge,3,2,,,,
516,not_found,Flushing Bank Long Island Regional,Financial,Mineola,4,3,,,,
517,not_found,Valley National Bank Garden City,Financial,Garden City,4,3,,,,
518,not_found,Signature Bank Long Island,Financial,Garden City,5,4,,,,
519,not_found,Greater Hudson Savings Bank,Financial,Merrick,3,2,,,,
520,not_found,Hanover Bancorp LI,Financial,Mineola,3,2,,,,
522,not_found,TD Bank Regional Headquarters,Financial,Garden City,5,4,,,,
523,not_found,JP Morgan Chase Long Island,Financial,Mineola,4,3,,,,
524,not_found,Long Island Community Bank HQ,Financial,Islandia,5,4,,,,
529,not_found,The Bristal at Islandia,Residential,Islandia,4,4,,,,
531,not_found,The Bristal at Bethpage,Residential,Bethpage,4,4,,,,
532,not_found,Sunrise Senior Living Commack,Residential,Commack,4,3,,,,
533,not_found,The Esplanade of Manhasset,Residential,Manhasset,5,4,,,,
534,not_found,Vintage Gardens Senior Living,Residential,Huntington,5,3,,,,
535,not_found,The Riverton at Centereach,Residential,Centereach,4,3,,,,
536,not_found,Babylon Landing Apartments,Residential,Babylon,5,3,,,,
537,not_found,East Hampton Village Green,Residential,East Hampton,3,2,,,,
538,not_found,Sag Harbor Cove Condominiums,Residential,Sag Harbor,3,2,,,,
539,not_found,Three Village Apartments,Residential,East Setauket,5,3,,,,
540,not_found,Atria Stamford,Residential,Smithtown,4,3,,,,
541,not_found,The 1770 House,Hotel,East Hampton,3,2,,,,
544,not_found,Hampton Inn Southampton,Hotel,Southampton,4,3,,,,
545,not_found,Westhampton Inn,Hotel,Westhampton Beach,3,2,,,,
546,not_found,Holiday Inn Express Garden City,Hotel,Garden City,5,4,,,,
547,not_found,La Quinta Inn Melville,Hotel,Melville,4,3,,,,
548,not_found,Marriott Residence Inn Carle Place,Hotel,Carle Place,4,3,,,,
549,not_found,Hyatt Place Melville,Hotel,Melville,5,4,,,,
550,not_found,Hampton Inn Melville,Hotel,Melville,4,3,,,,
551,not_found,Extended Stay America Hauppauge,Hotel,Hauppauge,3,2,,,,
552,not_found,Amagansett Beach & Atlantic Hotel,Hotel,Amagansett,3,2,,,,
553,not_found,Southold Inn,Hotel,Southold,3,2,,,,
556,not_found,645 Saratoga Ave,Office,Hauppauge,4,3,,,,
557,not_found,80 Orville Dr,Office,Bohemia,3,2,80,place=house,1,
558,not_found,55 Maxess Rd,Office,Hauppauge,4,3,,,,
560,not_found,Commack Professional Center,Office,Commack,3,2,,,,
562,not_found,Glen Head Office Center,Office,Glen Head,3,2,,,,
565,not_found,Port Jefferson Station Office Park,Office,Port Jefferson Station,3,2,,,,
566,not_found,East Hampton Professional Center,Office,East Hampton,3,2,,,,
567,not_found,Riverhead Center Professional Bldg,Office,Riverhead,3,2,,,,
568,not_found,Northport Professional Center,Office,Northport,3,2,,,,
569,not_found,Plainview Executive Center,Office,Plainview,3,2,,,,
576,not_found,Nassau County Traffic & Parking Agency,Government,Hempstead,3,2,,,,
577,not_found,Bellport Village Hall,Government,Bellport,2,1,,,,
583,not_found,Great Neck South High School,Education,Great Neck,3,3,,,,
588,not_found,Smithtown High School East,Education,Commack,3,3,,,,
593,not_found,Old Westbury Gardens — Westbury House,Entertainment,Old Westbury,3,2,,,,
594,not_found,Sagamore Hill — Roosevelt Home,Entertainment,Oyster Bay,3,2,,,,
595,not_found,Life Time Fitness Garden City,Entertainment,Garden City,3,3,,,,
596,not_found,Life Time Fitness Port Washington,Entertainment,Port Washington,3,3,,,,
597,not_found,Adventureland Amusement Park,Entertainment,Farmingdale,3,2,,,,
598,not_found,Caumsett State Park — Manor,Entertainment,Lloyd Neck,3,2,,,,
604,not_found,Old Westbury YMCA,Community,Roslyn Heights,2,1,,,,
605,not_found,Midway YMCA Bethpage,Community,Bethpage,2,1,,,,
606,not_found,East End Arts Council,Community,Riverhead,2,1,,,,
607,not_found,Catholic Charities Long Island,Community,Rockville Centre,2,1,,,,
608,not_found,North Shore Unitarian Universalist Society,Community,Manhasset,2,1,,,,
609,not_found,Shelter Island YMCA,Community,Shelter Island,2,1,,,,
610,not_found,Babylon-Amityville Council on the Arts,Community,Babylon,2,1,,,,
614,not_found,Lakeland Commons,Mall,West Babylon,2,2,,,,
615,not_found,Jericho Terrace Plaza,Mall,Mineola,2,1,,,,
616,not_found,Sterling Bancorp Long Island,Financial,Montebello,4,3,,,,
618,not_found,Citibank Long Island Regional,Financial,Lake Success,4,3,,,,
619,not_found,First National Bank of LI HQ,Financial,Glen Head,3,2,,,,
620,not_found,Investors Bank Long Island,Financial,Uniondale,3,2,,,,
