id,name,type,town,verified,verified_by,osm_name,osm_sim,osm_dist_m,osm_kind,wd_label,wd_desc,wd_dist_m,biz_name,biz_dist_m,census_match,census_dist_m,new_lat,new_lng
214,Adelphi University — Earle Hall,Education,Garden City,True,osm,Adelphi University,1.0,75,amenity=university,,,,,,True,4191,,
215,Dowling College — Kramer Science Center,Education,Oakdale,False,,Kramer Science Center,1.0,1841,building=house,,,,,,False,,,
216,Stony Brook University — Javits Lecture Ctr,Education,Stony Brook,False,,Stony Brook University,1.0,718,amenity=university,,,,,,True,654,,
217,SUNY Farmingdale — Administration Bldg,Education,Farmingdale,False,,SUNY Farmingdale,1.0,476,feature,,,,,,True,873,,
218,Molloy University — Hagan Hall,Education,Rockville Centre,True,osm,Molloy University,1.0,129,amenity=university,,,,,,True,167,,
219,Islip Town Hall,Government,Islip,True,osm,Islip Town Hall,1.0,118,amenity=townhall,,,,,,True,84,,
220,North Hempstead Town Hall,Government,Manhasset,True,osm,North Hempstead Town Hall,1.0,4,amenity=townhall,,,,,,True,47,,
221,Glen Cove City Hall,Government,Glen Cove,False,,Glen Cove,1.0,608,building=train_station,,,,,,True,744,,
222,Huntington Town Hall,Government,Huntington,False,,Huntington Town Hall (historical),1.0,236,feature,,,,,,True,529,,
223,Long Beach City Hall,Government,Long Beach,False,,City of Long Beach,1.0,837,office=government,,,,,,True,817,,
224,East Hampton Town Hall,Government,East Hampton,True,osm,East Hampton Town Hall,1.0,0,amenity=townhall,,,,,,True,47,,
225,Southampton Town Hall,Government,Southampton,True,osm,Southampton Town Hall,1.0,607,amenity=townhall,,,,,,True,695,40.887364,-72.385285
226,Suffolk County Clerk Building,Government,Riverhead,False,,Suffolk County Jail,0.67,1049,amenity=prison,,,,,,True,912,,
227,Babylon Town Hall,Government,Lindenhurst,False,,Babylon Town Hall Park,1.0,2352,leisure=park,Babylon Town Hall,"historic building in Babylon, New York state, USA",5378,,,True,2188,,
228,Theodore Roosevelt Exec & Legislative Bldg,Government,Mineola,True,osm,Theodore Roosevelt,1.0,774,tourism=artwork,,,,,,True,764,40.7381,-73.639296
229,North Shore Towers,Residential,Floral Park,False,,North Shore Towers Building 2,1.0,1936,building=yes,North Shore Towers,"residential skyscrapers in Queens, New York",2010,,,False,,,
230,The Riviera at Long Beach,Residential,Long Beach,False,,Long Beach Taxi,0.67,210,amenity=taxi,,,,,,True,763,,
231,The Meridian at Mineola,Residential,Mineola,False,,Mineola,1.0,883,building=train_station,,,,,,True,701,,
232,Hempstead Towers,Residential,Hempstead,False,,Hempstead,1.0,690,building=train_station,,,,,,True,700,,
233,Roslyn Heights Apartments,Residential,Roslyn Heights,False,,Roslyn,1.0,180,building=train_station,,,,,,True,756,,
234,Lynbrook Gardens,Residential,Lynbrook,True,osm,Lynbrook Gardens,1.0,296,building=apartments,,,,,,True,189,40.658762,-73.673689
235,Great Neck South Apartments,Residential,Great Neck,False,,Inn at Great Neck,0.67,1340,tourism=hotel,,,,,,False,,,
236,Port Washington Waterfront Condos,Residential,Port Washington,False,,Port Washington Diner,0.67,932,amenity=restaurant,,,,,,True,478,,
237,Bay Shore Towers,Residential,Bay Shore,False,,Bay Shore,1.0,289,building=train_station,,,,,,True,610,,
238,Rockville Centre Residences,Residential,Rockville Centre,False,,Village of Rockville Centre Community Development / Building Department,0.67,108,office=government,,,,,,False,,,
239,Valley Stream Apartments,Residential,Valley Stream,False,,Valley Stream at Valley Stream,1.0,180,feature,,,,,,True,513,,
240,Parkway Village Towers,Residential,New Hyde Park,False,,Village of New Hyde Park,0.33,1265,office=government,,,,,,True,2425,,
241,Sea Cliff Manor,Residential,Sea Cliff,False,,Sea Cliff Manor,1.0,1202,amenity=events_venue,,,,,,True,391,,
242,Floral Park Towers,Residential,Floral Park,False,,Floral Park,1.0,581,public_transport=stop_area,,,,,,True,576,,
243,Baldwin Harbor Apartments,Residential,Baldwin,False,,NICE n35 Baldwin Harbor --> Westbury,0.67,7174,feature,,,,,,True,4,,
244,Smithtown Library,Library,Smithtown,True,osm,The Smithtown Library - Main Branch,1.0,1,amenity=library,,,,,,False,,,
245,Hauppauge Public Library,Library,Hauppauge,False,,Hauppauge Fire Department Station 1,0.33,803,amenity=fire_station,Hauppauge Public Library,"public library in Hauppauge, New York, USA",2630,,,False,,,
246,Brentwood Public Library,Library,Brentwood,False,,Brentwood,1.0,544,building=train_station,,,,,,True,551,,
247,Great Neck Library — Main Branch,Library,Great Neck,True,osm,Great Neck Public Library – Main Branch,1.0,5,amenity=library,,,,,,True,196,,
248,Babylon Public Library,Library,Babylon,True,osm,Babylon Public Library,1.0,846,amenity=library,,,,,,True,293,40.695004,-73.325992
249,Ronkonkoma LIRR Station & Garage,Transit,Ronkonkoma,False,,Ronkonkoma,1.0,440,building=train_station,,,,,,False,,,
250,Mineola LIRR Intermodal Center,Transit,Mineola,False,,Mineola,1.0,616,building=train_station,,,,,,True,711,,
251,Broadway Commons,Mall,Hicksville,True,osm,Broadway Mall,0.5,264,shop=mall,,,,,,False,,40.773331,-73.531651
252,The Source Mall,Mall,Westbury,False,,The Bedroom Source,0.67,2017,shop=furniture,,,,,,False,,,
253,The Paramount Huntington,Entertainment,Huntington,True,osm,The Paramount,1.0,57,amenity=theatre,,,,,,True,29,,
254,Tilles Center for the Performing Arts,Entertainment,Brookville,True,osm,Tilles Center For The Performing Arts,1.0,849,amenity=arts_centre,,,,,,True,1197,40.817279,-73.597472
255,Long Island Aquarium,Entertainment,Riverhead,True,osm,Long Island Aquarium and Exhibition Center,1.0,358,tourism=theme_park,,,,,,True,432,40.917919,-72.656195
256,Nassau Coliseum,Entertainment,Uniondale,True,osm,Nassau Veterans Memorial Coliseum,1.0,43,leisure=stadium,,,,,,False,,,
257,Long Island Children's Museum,Entertainment,Garden City,True,osm,Long Island Children Museum,1.0,971,tourism=museum,,,,,,True,868,40.72795,-73.600355
258,Hofstra University Arena,Entertainment,Hempstead,False,,Hofstra University,1.0,408,amenity=university,,,,,,False,,,
259,Stony Brook University Sports Complex,Entertainment,Stony Brook,True,osm,Sports Complex,1.0,671,building=university,,,,,,False,,40.917344,-73.124727
260,NYCB Theatre at Westbury,Entertainment,Westbury,False,,Westbury,1.0,1232,building=train_station,,,,,,False,,,
261,Parker Jewish Institute,Residential,New Hyde Park,False,,Parker Jewish Institute for Health Care and Rehabilitation,1.0,1559,amenity=social_facility,,,,,,True,1377,,
262,Gurwin Jewish Nursing & Rehab Center,Residential,Commack,True,osm,Gurwin Jewish Nursing & Rehabilitation Center,0.8,52,amenity=social_facility,,,,,,True,99,,
263,Peconic Landing at Southold,Residential,Greenport,True,osm,Peconic Landing,1.0,83,building=public,,,,,,True,350,,
264,The Bristal at Westbury,Residential,Westbury,True,osm,The Bristal Assisted Living at Westbury,1.0,150,amenity=social_facility,,,,,,True,383,,
265,The Bristal at North Hills,Residential,North Hills,False,,The Bristal Assisted Living at North Hills,1.0,711,amenity=social_facility,,,,,,False,,,
266,Atria Woodbury,Residential,Woodbury,False,,Woodbury House Carriage House,0.5,399,building=garage,,,,,,True,8,,
267,Sunrise Senior Living Garden City,Residential,Garden City,False,,Garden City,1.0,387,building=train_station,,,,,,False,,,
268,The Bristal at East Northport,Residential,East Northport,False,,Atria East Northport,0.67,2086,amenity=social_facility,,,,,,False,,,
269,Glengariff Healthcare Center,Residential,Glen Cove,True,osm,Glengariff Healthcare Center,1.0,22,amenity=social_facility,,,,,,True,530,,
270,Sunrise at East Meadow,Residential,East Meadow,False,,East Meadow Jewish Center,0.67,1369,amenity=place_of_worship,,,,,,False,,,
271,The Vanderbilt at Plainview,Residential,Plainview,False,,The Residence at Plainview,0.67,1058,amenity=social_facility,,,,,,True,603,,
272,Meadowbrook Pointe,Residential,Westbury,False,,Meadowbrook Hospital Substation,0.5,2463,feature,,,,,,False,,,
273,Glen Cove Senior Towers,Residential,Glen Cove,False,,Glen Cove,1.0,1033,building=train_station,,,,,,True,927,,
274,Garden City Towers,Residential,Garden City,False,,Garden City,1.0,1344,building=train_station,,,,,,True,82,,
275,Oceanview Towers,Residential,Long Beach,False,,Granada Towers,0.5,526,building=apartments,,,,,,True,720,,
276,Neptune Towers,Residential,Long Beach,False,,Granada Towers,0.5,454,building=apartments,,,,,,True,806,,
277,Searingtown Apartments,Residential,Albertson,False,,Searingtown Pond Park,0.5,586,leisure=park,,,,,,False,,,
278,Hewlett House Apartments,Residential,Hewlett,False,,Hewlett House of Tires,0.67,701,shop=tyres,,,,,,False,,,
279,Lawrence Towers,Residential,Lawrence,False,,Lawrence,1.0,961,building=train_station,,,,,,False,,,
280,Port Jefferson Towers,Residential,Port Jefferson,False,,Port Jefferson,1.0,2057,building=train_station,,,,,,False,,,
281,Massapequa Towers,Residential,Massapequa,False,,Massapequa Fire Department,0.5,185,building=construction,,,,,,True,38,,
282,Roslyn Harbor Condos,Residential,Roslyn,False,,Roslyn,1.0,965,building=train_station,,,,,,True,139,,
283,The Terrace at Westbury,Residential,Westbury,False,,Westbury,1.0,273,building=train_station,,,,,,True,702,,
289,Kings Park Senior Apartments,Residential,Kings Park,False,,Kings Park Memorial Park,0.67,610,leisure=park,,,,,,True,3,,
295,Baron's Cove Hotel,Hotel,Sag Harbor,True,fsq,American Hotel,0.5,402,tourism=hotel,,,,Baron's Cove,132,True,101,,
298,Four Points by Sheraton Melville,Hotel,Melville,False,,Lower Melville Church,0.33,1610,amenity=place_of_worship,,,,,,False,,,
299,Springhill Suites Garden City,Hotel,Garden City,False,,Garden City,1.0,1837,building=train_station,,,,,,True,33,,
300,TownePlace Suites Hauppauge,Hotel,Hauppauge,False,,Hauppauge Youth Organization Baseball Fields,0.33,1641,leisure=park,,,,,,False,,,
301,Hampton Inn & Suites Bethpage,Hotel,Bethpage,False,,Bethpage Water,0.5,1242,feature,,,,,,False,,,
302,Holiday Inn Westbury,Hotel,Carle Place,True,osm,Holiday Inn,1.0,14,tourism=hotel,,,,,,True,81,,
303,Courtyard by Marriott Plainview,Hotel,Plainview,False,,WPOB-FM (Plainview),0.5,419,feature,,,,,,True,96,,
304,Marriott Courtyard Hauppauge,Hotel,Ronkonkoma,False,,Courtyard Long Island MacArthur Airport,0.33,1648,tourism=hotel,,,,,,False,,,
305,North Fork Table & Inn,Hotel,Southold,True,osm,North Fork Table & Inn,1.0,1126,tourism=hotel,,,,,,True,1115,41.068137,-72.417179
307,Dune Deck Hotel Westhampton,Hotel,Westhampton Beach,False,,Hotel Swordfish,0.5,1522,building=hotel,,,,,,True,19,,
309,Canoe Place Inn,Hotel,Hampton Bays,False,,Canoe Place,1.0,839,tourism=hotel,,,,,,True,1342,,
311,1 Expressway Plaza,Office,Roslyn Heights,False,,Bryant Plaza,0.5,616,building=apartments,,,,,,True,15347,,
312,2 Expressway Plaza,Office,Roslyn Heights,False,,Bryant Plaza,0.5,604,building=apartments,,,,,,True,15390,,
313,585 Broadhollow Rd,Office,Melville,False,,,,,,,,,,,False,,,
314,1501 Franklin Ave,Office,Garden City,False,,Benjamin Franklin,0.5,1930,tourism=artwork,,,,,,False,,,
315,North Hills Executive Park,Office,North Hills,False,,Manor Park,0.5,362,leisure=park,,,,,,True,1849,,
316,800 Woodbury Rd,Office,Woodbury,False,,Woodbury Substation,0.5,464,feature,,,,,,False,,,
317,600 Community Dr,Office,Manhasset,False,,Community Drive Medical Center,0.5,154,building=commercial,,,,,,True,354,,
318,Syosset Corporate Center,Office,Syosset,False,,K9 Resort - Syosset,0.5,805,building=commercial,,,,,,True,48,,
319,195 Crossways Park Dr,Office,Woodbury,False,,211 Crossways Park Drive,0.67,38,building=commercial,,,,,,True,5,,
320,Lakeville Road Executive Park,Office,Lake Success,False,,Lakeville Stationery,0.5,704,shop=convenience,,,,,,True,135,,
321,1025 Old Country Rd,Office,Westbury,False,,Old Country Road School,0.67,1647,amenity=school,,,,,,True,44,,
322,600 Veterans Memorial Hwy,Office,Hauppauge,False,,Bill Richards Memorial Park,0.25,1643,leisure=nature_reserve,,,,,,False,,,
323,Carle Place Office Park,Office,Carle Place,False,,Carle Place American Legion Memorial Park,0.75,579,leisure=park,,,,,,False,,,
324,200 Rabro Dr,Office,Hauppauge,False,,,,,,,,,,,True,8,,
325,1305 Walt Whitman Rd,Office,Melville,False,,Walt Whitman Trail,0.67,2743,feature,,,,,,True,207,,
326,East Setauket Corporate Park,Office,East Setauket,False,,R&D Park Shuttle,0.5,255,feature,,,,,,True,608,,
327,60 Harbor Park Dr,Office,Port Washington,False,,Hempstead Harbor Shoreline Park,1.0,457,leisure=nature_reserve,,,,,,True,6,,
328,4 Dakota Dr,Office,Lake Success,False,,3 Dakota Driv,1.0,216,building=commercial,,,,,,False,,,
329,200 Broadhollow Rd,Office,Melville,False,,,,,,,,,,,False,,,
330,375 Wireless Blvd,Office,Hauppauge,False,,,,,,,,,,,True,136,,
331,700 Old Country Rd,Office,Plainview,True,fsq,Old Country Animal Clinic,0.67,146,amenity=veterinary,,,,700 Old Country Rd.  11803,23,True,120,,
332,1 Astoria Blvd,Office,Bohemia,False,,,,,,,,,,,False,,,
334,125 Half Hollow Rd,Office,Deer Park,False,,,,,,,,,,,True,752,,
335,1100 Old Country Rd,Office,Plainview,False,,Trail View State Park - Old Country Road,0.67,942,tourism=information,,,,,,True,163,,
337,Long Island Technology Campus,Office,Hauppauge,False,,Residence Inn Long Island Hauppauge/Islandia,0.5,343,tourism=hotel,,,,,,False,,,
338,95 Sunnyside Blvd,Office,Woodbury,False,,,,,,,,,,,False,,,
341,Northwell Robotic Surgery Center Manhasset,Medical,Manhasset,False,,Northwell Health,0.5,1471,building=yes,,,,,,True,390,,
342,Northwell Health Cancer Institute Lake Success,Medical,Lake Success,False,,Northwell Health,1.0,1453,building=yes,,,,,,True,7,,
343,Catholic Health Physician Partners Merrick,Medical,Merrick,False,,Merrick Veterans Memorial Park,0.25,1731,leisure=park,,,,,,True,1810,,
344,TLC Health Network,Medical,Amityville,False,,Long Island Power Network,0.33,42345,feature,,,,,,False,,,
345,NYU Langone Medical Commack,Medical,Commack,False,,Commack Cemetery,0.5,736,feature,,,,,,True,798,,
346,New York Spine Institute,Medical,Westbury,False,,New York TRACON,0.67,1882,office=government,,,,,,True,509,,
347,Northwell Health Dermatology Garden City,Medical,Garden City,False,,Garden City,1.0,717,building=train_station,,,,,,True,312,,
348,South Shore University Hospital Cancer Ctr,Medical,Bay Shore,False,,Westfield South Shore,0.67,1647,shop=mall,,,,,,True,68,,
349,Northwell Behavioral Health Manhasset,Medical,Manhasset,False,,Northwell Health,1.0,1416,building=yes,,,,,,True,229,,
350,St. Catherine Satellite Hauppauge,Medical,Hauppauge,False,,Hauppauge Substation,0.5,2519,feature,,,,,,False,,,
351,Stony Brook Cardiology Smithtown,Medical,Smithtown,False,,Smithtown Viaduct,0.5,633,feature,,,,,,True,290,,
353,CareMount Medical Great Neck,Medical,Great Neck,False,,Great Neck Diner,0.67,107,amenity=restaurant,,,,,,True,8,,
354,Long Island Spine Specialists,Medical,Greenlawn,False,,Long Island Power Network,0.5,34015,feature,,,,,,False,,,
356,South Shore Neurologic Associates,Medical,Patchogue,False,,Shore to Shore Cleaning,0.5,1131,feature,,,,,,True,8,,
360,Northwell Health Ophthalmology Great Neck,Medical,Great Neck,True,osm,Northwell Health,1.0,146,amenity=doctors,,,,,,True,86,,
361,Smithtown Town Hall,Government,Smithtown,False,,Town of Smithtown,1.0,481,office=government,,,,,,True,439,,
362,Riverhead Town Hall,Government,Riverhead,True,osm,Riverhead Town Hall,1.0,286,amenity=townhall,,,,,,True,835,40.918873,-72.663984
363,Oyster Bay Town Hall,Government,Oyster Bay,False,,Town of Oyster Bay Town Hall East Building,1.0,564,amenity=townhall,,,,,,True,549,,
364,Nassau County Health Department,Government,Uniondale,False,,Nassau County Probation Department,0.75,895,office=government,,,,,,False,,,
365,Nassau County Corrections HQ,Government,East Meadow,False,,Nassau County Sheriff's Department,0.67,578,amenity=police,,,,,,True,364,,
366,Village of Freeport Municipal Center,Government,Freeport,False,,Village of Freeport,1.0,333,office=government,,,,,,True,415,,
370,Suffolk County Traffic & Parking Violations,Government,Hauppauge,False,,Suffolk County Police Headquarters,0.5,0,amenity=police,,,,,,True,204,,
371,Stony Brook University — Social & Behavioral Sciences,Education,Stony Brook,False,,Stony Brook University,1.0,634,amenity=university,,,,,,True,586,,
372,Stony Brook University — Harriman Hall,Education,Stony Brook,True,osm,Harriman Hall,1.0,211,building=university,,,,,,False,,40.915748,-73.125073
374,Hofstra University — Law School,Education,Hempstead,False,,Hofstra University,1.0,194,amenity=university,,,,,,False,,,
375,Adelphi University — Nexus Building,Education,Garden City,True,osm,Adelphi University,1.0,99,amenity=university,,,,,,True,4198,,
376,Touro College of Osteopathic Medicine,Education,Central Islip,False,,Touro Law School,0.33,2111,building=yes,Touro College of Osteopathic Medicine,American medical school,63535,,,False,,,
377,Nassau BOCES Administrative Center,Education,Garden City,True,osm,Nassau Boces,1.0,68,building=school,,,,,,True,221,,
378,Western Suffolk BOCES,Education,Dix Hills,False,,SCT Suffolk Clipper,0.33,11679,feature,,,,,,True,2593,,
379,Dowling College — Oakdale Campus,Education,Oakdale,False,,Oakdale,1.0,1387,building=train_station,,,,,,True,103,,
381,Life Time Fitness Syosset,Entertainment,Syosset,False,,Life Time,1.0,965,leisure=fitness_centre,,,,,,True,10,,
382,Life Time Fitness Commack,Entertainment,Commack,False,,LA Fitness,1.0,934,leisure=fitness_centre,,,,,,False,,,
383,Cradle of Aviation Museum,Entertainment,Garden City,True,osm,Cradle of Aviation Museum,1.0,786,tourism=museum,,,,,,True,787,40.728347,-73.597478
384,Parrish Art Museum,Entertainment,Water Mill,True,osm,Parrish Art Museum,1.0,12,tourism=museum,,,,,,True,272,,
385,Vanderbilt Museum — Hall of Fishes,Entertainment,Centerport,True,osm,Suffolk County Vanderbilt Museum,0.5,646,building=museum,,,,,,True,810,40.906475,-73.368774
388,The Space at Westbury,Entertainment,Westbury,False,,Westbury,1.0,11,building=train_station,,,,,,True,513,,
389,Patchogue Theatre for the Performing Arts,Entertainment,Patchogue,True,fsq,Patchogue,1.0,414,building=train_station,,,,Patchogue Theatre for the Performing Arts,190,True,260,40.766025,-73.013459
391,Freeport YMCA,Community,Freeport,False,,Freeport Fire Department,0.5,33,amenity=fire_station,,,,,,True,458,,
392,Huntington YMCA,Community,Huntington,True,osm,Huntington YMCA,1.0,1075,leisure=park,,,,,,False,,40.874378,-73.416159
393,Hempstead YMCA,Community,Hempstead,False,,Hempstead,1.0,790,building=train_station,,,,,,True,595,,
394,Glen Cove YMCA,Community,Glen Cove,False,,Glen Cove,1.0,2176,building=train_station,,,,,,True,5,,
395,Westbury YMCA,Community,Westbury,False,,Westbury,1.0,254,building=train_station,,,,,,True,152,,
396,Port Washington YMCA,Community,Port Washington,False,,Port Washington Masjid,0.67,280,amenity=place_of_worship,,,,,,True,4,,
397,Patchogue YMCA,Community,Patchogue,False,,Patchogue,1.0,328,building=train_station,,,,,,True,981,,
398,Commack YMCA,Community,Commack,False,,The Smithtown Library - Commack Branch,0.5,462,amenity=library,,,,,,True,691,,
399,Brentwood YMCA,Community,Brentwood,False,,Brentwood,1.0,419,building=train_station,,,,,,False,,,
401,Bay Shore YMCA,Community,Bay Shore,False,,Bay Shore,1.0,737,building=train_station,,,,,,True,44,,
402,East Meadow YMCA,Community,East Meadow,False,,Stew Leonard's of East Meadow,0.67,191,shop=supermarket,,,,,,False,,,
403,Riverhead YMCA,Community,Riverhead,False,,Riverhead,1.0,598,building=train_station,,,,,,True,233,,
404,JCC Mid-Island,Community,Plainview,True,osm,Mid-Island Y JCC,1.0,620,amenity=community_centre,,,,,,True,719,40.779463,-73.467309
405,JCC of the Greater Five Towns,Community,Woodmere,False,,The G.O.A.T.,1.0,1405,amenity=restaurant,,,,,,False,,,
406,Sands Point Preserve — Hempstead House,Community,Sands Point,False,,Hempstead House,1.0,347,building=house,,,,,,False,,,
407,Huntington Arts Center,Community,Huntington,False,,Huntington Cinema Arts Center,1.0,1093,amenity=cinema,,,,,,True,310,,
409,Nassau County Museum of Art,Community,Roslyn Harbor,True,osm,Nassau County Museum of Art,1.0,1092,leisure=park,,,,,,True,716,40.810509,-73.640072
411,Mineola Medical Arts Building,Medical,Mineola,False,,Building F,1.0,1353,building=commercial,,,,,,False,,,
412,Rockville Centre Medical Arts,Medical,Rockville Centre,False,,Rockville Medical,1.0,1200,building=yes,,,,,,True,931,,
413,Massapequa Medical Center,Medical,Massapequa,False,,The Incorporated Village of Massapequa Park Community Center,0.67,368,amenity=community_centre,,,,,,False,,,
414,Bellmore Medical Arts,Medical,Bellmore,False,,Bellmore Substation,0.5,673,feature,,,,,,True,207,,
415,Merrick Medical Arts,Medical,Merrick,False,,Merrick Veterinary,0.5,595,amenity=veterinary,,,,,,True,1002,,
416,Wantagh Medical Center,Medical,Wantagh,False,,Framingdale Wantagh Jewish Center,0.67,1933,amenity=place_of_worship,,,,,,True,207,,
417,Lindenhurst Medical Arts,Medical,Lindenhurst,False,,Village of Lindenhurst,0.5,1733,office=government,,,,,,True,694,,
418,Deer Park Medical Center,Medical,Deer Park,False,,Deer Park Community Center,0.75,1657,amenity=community_centre,,,,,,True,4,,
419,Coram Medical Arts,Medical,Coram,False,,Coram Substation,0.5,1348,feature,,,,,,False,,,
420,Centereach Medical Center,Medical,Centereach,False,,Centereach Substation,0.5,507,feature,,,,,,True,4,,
421,Bohemia Medical Arts,Medical,Bohemia,False,,iFixScreens Bohemia,0.5,1846,shop=mobile_phone,,,,,,False,,,
422,Medford Medical Center,Medical,Medford,False,,Medford,1.0,704,building=train_station,,,,,,True,867,,
423,Setauket Medical Center,Medical,East Setauket,False,,Setauket Gulf,0.5,1206,amenity=fuel,,,,,,True,1402,,
424,Port Jefferson Medical Center,Medical,Port Jefferson,False,,Port Jefferson,1.0,1492,building=train_station,,,,,,False,,,
425,Oceanside Medical Arts,Medical,Oceanside,False,,Oceanside Schools,0.5,1091,amenity=school,,,,,,True,78,,
426,Hewlett Medical Center,Medical,Hewlett,False,,Islamic Center Of Five Towns Masjid Hewlett,0.67,1077,amenity=place_of_worship,,,,,,True,443,,
427,Valley Stream Medical Arts,Medical,Valley Stream,False,,Valley Stream at Valley Stream,1.0,241,feature,,,,,,False,,,
428,Elmont Medical Center,Medical,Elmont,False,,Linden Medical Center,0.67,1313,amenity=doctors,,,,,,True,5,,
429,Floral Park Medical Arts,Medical,Floral Park,False,,Floral Park,1.0,711,public_transport=stop_area,,,,,,True,668,,
430,Seaford Medical Arts,Medical,Seaford,False,,Bethpage Medical,0.5,2255,amenity=doctors,,,,,,True,717,,
432,Levittown Public Library,Library,Levittown,True,osm,Levittown Public Library,1.0,9,amenity=library,,,,,,True,46,,
436,Syosset Public Library,Library,Syosset,True,osm,Syosset Public Library,1.0,76,amenity=library,,,,,,True,4,,
437,Lindenhurst Memorial Library,Library,Lindenhurst,True,osm,Lindenhurst Memorial Library,1.0,3,amenity=library,,,,,,True,61,,
438,Bay Shore–Brightwaters Library,Library,Bay Shore,True,osm,Bay Shore - Brightwaters Public Library,1.0,353,amenity=library,,,,,,False,,40.713449,-73.257745
439,Patchogue–Medford Library,Library,Patchogue,True,osm,Patchogue - Medford Library,1.0,183,amenity=library,,,,,,True,168,40.765563,-73.013662
441,Comsewogue Public Library,Library,Port Jefferson Station,False,,Comsewogue Public Library Bike Borrow Program,1.0,956,amenity=bicycle_rental,,,,,,True,898,,
442,Commack Public Library,Library,Commack,True,osm,Commack Public Library,1.0,4,amenity=library,,,,,,True,115,,
443,North Babylon Public Library,Library,North Babylon,True,osm,North Babylon Public Library,1.0,693,amenity=library,,,,,,True,650,40.724722,-73.322222
444,Elmont Public Library,Library,Elmont,True,osm,Elmont Public Library,1.0,1013,amenity=library,,,,,,False,,40.707255,-73.704603
446,Rockville Centre Village Hall,Government,Rockville Centre,False,,Village of Rockville Centre,1.0,376,office=government,,,,,,True,579,,
447,Lynbrook Village Hall,Government,Lynbrook,True,osm,Lynbrook Village Hall,1.0,408,amenity=townhall,,,,,,True,404,40.657612,-73.675287
448,Mineola Village Hall,Government,Mineola,True,osm,Village of Mineola,1.0,94,office=government,,,,,,True,96,,
449,Garden City Village Hall,Government,Garden City,False,,Garden City,1.0,159,building=train_station,,,,,,True,680,,
450,Westbury Village Hall,Government,Westbury,False,,Westbury,1.0,151,building=train_station,,,,,,True,290,,
451,Babylon Village Hall,Government,Babylon,False,,Village of Babylon,1.0,511,office=government,,,,,,True,543,,
452,Amityville Village Hall,Government,Amityville,True,osm,Amityville Village Hall,1.0,236,building=commercial,,,,,,True,315,40.678722,-73.418295
453,Northport Village Hall,Government,Northport,False,,Village of Northport,1.0,499,office=government,,,,,,True,445,,
454,Patchogue Village Hall,Government,Patchogue,False,,Patchogue,1.0,304,building=train_station,,,,,,True,374,,
455,Farmingdale Village Hall,Government,Farmingdale,True,osm,Farmingdale Village Hall,1.0,164,amenity=townhall,,,,,,True,134,40.731112,-73.445143
456,Floral Park Village Hall,Government,Floral Park,False,,Floral Park,1.0,231,public_transport=stop_area,,,,,,True,284,,
457,New Hyde Park Village Hall,Government,New Hyde Park,True,osm,New Hyde Park Village Hall,1.0,735,amenity=townhall,,,,,,True,685,40.733089,-73.680528
458,Long Beach DMV Office,Government,Long Beach,False,,Long Beach Post Office,0.75,565,amenity=post_office,,,,,,True,35,,
459,Nassau County DMV Hempstead,Government,Hempstead,False,,Hempstead,1.0,860,building=train_station,,,,,,True,624,,
460,Massapequa Park Village Hall,Government,Massapequa Park,False,,Village of Massapequa Park,1.0,389,office=government,,,,,,True,414,,
461,300 Jericho Tpke,Office,Jericho,False,,2 Jericho Plaza,0.5,313,building=commercial,,,,,,True,460,,
462,2 Huntington Quadrangle,Office,Melville,True,fsq,Hilton Long Island/Huntington,0.5,1131,tourism=hotel,,,,2 Huntington Quadrangle,65,True,488,,
463,100 E Main St Smithtown,Office,Smithtown,False,,The Smithtown Library - Main Branch,0.67,1008,amenity=library,,,,,,True,649,,
464,Hauppauge Commerce Center,Office,Hauppauge,False,,Hauppauge Palace,0.5,1586,amenity=restaurant,,,,,,False,,,
465,300 Corporate Dr Bohemia,Office,Bohemia,False,,iFixScreens Bohemia,0.5,1942,shop=mobile_phone,,,,,,False,,,
466,New Hyde Park Office Park,Office,New Hyde Park,False,,New Hyde Park Main Post Office,1.0,2362,amenity=post_office,,,,,,True,298,,
467,155 Froehlich Farm Blvd,Office,Woodbury,False,,Meyer's Farm,0.5,732,shop=farm,,,,,,True,101,,
468,Valley Stream Business Center,Office,Valley Stream,False,,Valley Stream at Valley Stream,1.0,757,feature,,,,,,False,,,
469,33 Walt Whitman Rd,Office,Huntington Station,False,,Walt Whitman High School,1.0,960,amenity=school,,,,,,True,528,,
470,75 Maiden Ln Great Neck,Office,Great Neck,False,,Costello's Ace Hardware of Great Neck,0.67,259,shop=hardware,,,,,,False,,,
471,100 N Centre Ave,Office,Rockville Centre,False,,Centre Autobody,0.5,96,shop=car_repair,,,,,,True,152,,
472,50 Broadway Lynbrook,Office,Lynbrook,False,,On Broadway,1.0,2341,shop=hairdresser,,,,,,True,100,,
473,175 Pinelawn Rd,Office,Melville,False,,,,,,,,,,,True,2042,,
474,100 Merrick Rd,Office,Merrick,False,,Merrick Post Office,0.5,588,amenity=post_office,,,,,,False,,,
475,Bayberry Professional Center,Office,Woodbury,False,,Syosset-Woodbury Community Park Community Center,0.33,651,amenity=community_centre,,,,,,True,155,,
476,Long Island Museum of American Art,Entertainment,Stony Brook,False,,"Long Island Museum of American Art, History and Carriages",1.0,987,tourism=museum,,,,,,False,,,
482,Sunrise Highway Plaza,Mall,Merrick,False,,NICE n19 - Freeport --> Sunrise Mall,0.33,3830,feature,,,,,,True,700,,
